title,workload,url,school,registered_people,rating,instructor
Curso Python: avance na Orientação a Objetos e consuma API,8,https://www.alura.com.br/curso-online-python-avance-orientacao-objetos-consuma-api,Programação,1580,9.3,Guilherme Lima
Curso Node.js: criando sua primeira biblioteca,12,https://www.alura.com.br/curso-online-nodejs-criando-primeira-biblioteca,Programação,7868,9.3,Juliana Amoasei
Curso Node.js: continue seu projeto full stack criando uma API com Express,8,https://www.alura.com.br/curso-online-node-primeira-api-express,Programação,2628,9.2,Bernardo Severo da Silveira
Curso ORM com Node.js: desenvolvendo uma API com Sequelize e SQLite,10,https://www.alura.com.br/curso-online-orm-node-js-desenvolvendo-api-sequelize-sqlite,Programação,518,9.4,Juliana Amoasei
Curso ORM com Node.js: avançando nas funcionalidades do Sequelize,10,https://www.alura.com.br/curso-online-orm-node-js-funcionalidades-sequelize,Programação,327,9.2,Juliana Amoasei
Curso Nest.js: criando uma API Restful,10,https://www.alura.com.br/curso-online-nestjs-criando-api-resftul,Programação,3779,9.1,Wanderson Macêdo
Curso Nest.js: Persistindo dados com TypeORM e PostgreSQL,10,https://www.alura.com.br/curso-online-nest-js-typeorm,Programação,1196,8.8,Daniel Rodrigues Silva
"Curso Nest.js: lidando com migrações, relacionamentos ORM e erros em uma API",10,https://www.alura.com.br/curso-online-nest-js-migracoes-relacionamentos-orm-erros-api,Programação,644,9.2,Antônio Evaldo
"Curso Nest.js: adicionando funcionalidades com Redis, JWT e logging",10,https://www.alura.com.br/curso-online-nest-js-funcionalidades-redis-jwt-logging,Programação,469,9.0,Antônio Evaldo
Curso Node.js: criptografia e tokens JWT,10,https://www.alura.com.br/curso-online-nodejs-criptografia-tokens-jwt,Programação,2647,9.3,João Manoel Lima
Curso Node.js: testes unitários e de integração,12,https://www.alura.com.br/curso-online-nodejs-testes-unitarios-integracao,Programação,4210,9.2,João Manoel Lima
"Curso Node.js: lidando com buscas, filtros, paginação e erros em uma API",10,https://www.alura.com.br/curso-online-node-js-buscas-filtros-paginacao-erros-api,Programação,2292,9.3,Antônio Evaldo
"Curso Node.js: criando API Rest com autenticação, perfis de usuários e permissões",10,https://www.alura.com.br/curso-online-node-js-api-rest-autenticacao-perfis-usuarios-permissoes,Programação,1522,8.7,Raphael Lucas Girao de Lima
Curso Node.JS: melhorando o fluxo de desenvolvimento e integração de sua equipe,12,https://www.alura.com.br/curso-online-node-js-fluxo-desenvolvimento-integracao-equipe,Programação,508,9.2,Juliana Amoasei
Curso Node.js: criando uma API Rest com Express e MongoDB,10,https://www.alura.com.br/curso-online-node-js-api-rest-express-mongodb,Programação,2714,9.5,Juliana Amoasei
Curso Node.js: implementando testes em uma API Rest,6,https://www.alura.com.br/curso-online-node-js-implementando-testes-api-rest,Programação,437,8.7,Raphael Lucas Girao de Lima
